Candidate,Party,Criminal Cases,Education,Age,City
Shahid Ali Khan,JD(U), 3 ,Graduate Professional,54,SHEOHAR
Shatrughan Sahu,AAP,0,Post Graduate,38,SHEOHAR
Shivanandan Prasad,IND,0,Post Graduate,70,SHEOHAR
Ram Kumar Sharma,Rashtriya Lok Samta Party,0,Post Graduate,50,SITAMARHI
Ajay Kumar,IND, 1 ,12th Pass,37,SITAMARHI
Arjun Rai,JD(U), 1 ,Doctorate,42,SITAMARHI
Bharat Bhushan Sahni,Sarvajan Kalyan Loktantrik Party,0,12th Pass,44,SITAMARHI
Chandrika Prasad,IND,0,12th Pass,39,SITAMARHI
Jai Kumar Chaudhary,Lok Dal,0,Graduate,36,SITAMARHI
Kishori Das,AAP, 2 ,Post Graduate,63,SITAMARHI
Mahendra Prasad,Samajwadi Janata Party (Rashtriya),0,Graduate,45,SITAMARHI
Mahesh Kumar,BSP, 3 ,Post Graduate,48,SITAMARHI
Mahesh Nandan Singh,IND,0,Graduate,44,SITAMARHI
Mohammad Faiyaz Ahmad,IND,0,12th Pass,29,SITAMARHI
Narendra Mishra,IND,0,Post Graduate,56,SITAMARHI
Rajeev Ranjan,AITC,0,Graduate Professional,35,SITAMARHI
Satyendra Bhandari,Bahujan Mukti Party,0,10th Pass,38,SITAMARHI
Sitaram Yadav,RJD,0,Graduate Professional,66,SITAMARHI
Sone Lal Sah,IND,0,8th Pass,66,SITAMARHI
Surendra Kumar,Bajjikanchal Vikas Party,0,Graduate,33,SITAMARHI
Syed Abu Dojana,SP,0,Graduate,49,SITAMARHI
Vinod Sah,IND,0,Literate,48,SITAMARHI
Om Prakash Yadav,BJP, 1 ,Graduate,48,SIWAN
Amar Nath Yadav,CPI(ML)L, 8 ,Literate,49,SIWAN
Ganesh Ram,BSP, 1 ,Post Graduate,42,SIWAN
Hena Sahab,RJD,0,Graduate,41,SIWAN
Khalil Miyan Alias Md. Khalil Miyan,GGP,0,Post Graduate,38,SIWAN
Manoj Kr Singh,JD(U), 2 ,12th Pass,45,SIWAN
Nagendra Tiwari,Loktantrik Janata Party (Secular),0,Post Graduate,36,SIWAN
Narad Pandit,Jai Prakash Janata Dal,0,8th Pass,41,SIWAN
Parmanand God,Swatantra Samaj Party,0,12th Pass,44,SIWAN
Parmeshwar Manjhi,Bahujan Mukti Party,0,Graduate,41,SIWAN
Ram Vinay Ray,Bharatiya Ekta Dal,0,Literate,28,SIWAN
Ranjan Kumar,Bharat Vikas Morcha,0,Graduate,36,SIWAN
Satya Prakash Pandey,AAP,0,Graduate Professional,43,SIWAN
Ranjeet Ranjan,INC, 5 ,12th Pass,41,SUPAUL
Aman Kumar Samajsevi,BSP,0,12th Pass,33,SUPAUL
Binod Kumar Sahu,IND,0,Graduate,45,SUPAUL
Devnarayan Yadav,Bahujan Mukti Party,0,Post Graduate,66,SUPAUL
Dileshwar Kamait,JD(U),0,Post Graduate,68,SUPAUL
Jay Narayan Yadav,CPI(ML)L, 2 ,Graduate,49,SUPAUL
Kameshwar Chaupal,BJP, 1 ,Post Graduate,58,SUPAUL
Mohammad Amanullah,IUML,0,Graduate,32,SUPAUL
Parmeshwar Jha,AAP,0,Graduate,62,SUPAUL
Ramdev Sharma,IND,0,12th Pass,55,SUPAUL
Shakaldev Mandal,Samajwadi Janata Party (Rashtriya), 1 ,Graduate Professional,70,SUPAUL
Suresh Kumar Ajad,Jai Hind Party,0,Post Graduate,46,SUPAUL
Nityanand Rai,BJP, 1 ,Graduate,48,UJIARPUR
Alok Kumar Mehta,RJD, 4 ,Graduate Professional,45,UJIARPUR
Amrendra Kumar Yadav,Rashtriya Krantikari Samajwadi Party, 2 ,Post Graduate,41,UJIARPUR
Arjun Kumar Sah,IND,0,8th Pass,29,UJIARPUR
Ashwamedh Devi,JD(U),0,5th Pass,51,UJIARPUR
Bindeshwari Sahani,Proutist Sarva Samaj,0,10th Pass,63,UJIARPUR
Dharmendra Sahani,BSP, 1 ,12th Pass,34,UJIARPUR
Jitendra Kumar Rai,SHS,0,12th Pass,37,UJIARPUR
Kishor Kumar,Rashtriya Lok Samta Party,0,12th Pass,36,UJIARPUR
Madhuri,Bahujan Mukti Party,0,Graduate Professional,33,UJIARPUR
Md. Tahir Arman,Naya Daur Party,0,Graduate,27,UJIARPUR
Mintu Paswan,IND,0,Graduate,31,UJIARPUR
Mithilesh Kumar Jha,JMM,0,12th Pass,51,UJIARPUR
Phool Babu Singh,CPI(ML)L, 2 ,Post Graduate,37,UJIARPUR
Prem Lata Devi,Jai Prakash Janata Dal,0,Literate,42,UJIARPUR
Prithwinath Prasad,Mahamukti Dal,0,Graduate,46,UJIARPUR
Ram Deo Verma,CPI(M), 3 ,Graduate,67,UJIARPUR
Shivani Umani,Janta Dal Rashtravadi,0,10th Pass,42,UJIARPUR
Suresh Choudhary,AAP,0,Post Graduate,71,UJIARPUR
Rama Kishore Singh,LJP, 4 ,Graduate,51,VAISHALI
Anu Shukla,IND, 1 ,12th Pass,38,VAISHALI
Balendra Singh,IND,0,12th Pass,66,VAISHALI
Dr. Mohammad Nabi Hassan,IND, 1 ,Literate,30,VAISHALI
Indradeo Roy,SUCI(C), 2 ,Post Graduate,51,VAISHALI
Jay Narayan Sah,Bajjikanchal Vikas Party,0,Post Graduate,59,VAISHALI
Jitendra Prasad,IND,0,10th Pass,40,VAISHALI
Lalji Kumar Rakesh,IND,0,Post Graduate,41,VAISHALI
Md. Naushad,VANCHITSAMAJ INSAAF PARTY,0,8th Pass,25,VAISHALI
Mohammad Umar Anshari,IND,0,Graduate,58,VAISHALI
Mukesh Ram,Rashtriya Krantikari Samajwadi Party,0,Graduate,29,VAISHALI
Parmeshwar Ram,Bahujan Mukti Party, 1 ,Graduate Professional,64,VAISHALI
Raaj Mangal Prasad,AAP,0,Post Graduate,54,VAISHALI
Raghuvansh Prasad Singh,RJD, 2 ,Doctorate,67,VAISHALI
Ram Pukar Rai,IND,0,10th Pass,42,VAISHALI
Rameshwar Sah,IND,0,Post Graduate,38,VAISHALI
Ranjeet Kumar Jha,IND, 1 ,12th Pass,28,VAISHALI
Sandhya Devi,IND,0,Literate,43,VAISHALI
Shankar Mahato,BSP, 4 ,12th Pass,42,VAISHALI
Vijay Kumar Sahni,JD(U), 2 ,12th Pass,63,VAISHALI
Vinod Pandit,Lokpriya Samaj Party, 1 ,12th Pass,34,VAISHALI
Satish Dubey,BJP, 3 ,10th Pass,39,VALMIKI NAGAR
Amar Sahani,Bharatiya Ekta Dal,0,Literate,38,VALMIKI NAGAR
Baidhnath Prasad Mahto,JD(U), 2 ,10th Pass,57,VALMIKI NAGAR
Dharmesh Prasad Verma,AAP,0,12th Pass,68,VALMIKI NAGAR
Dilip Varma,IND, 3 ,Graduate,60,VALMIKI NAGAR
Doctor Mahato,Janvadi Party(Socialist),0,8th Pass,44,VALMIKI NAGAR
Dravyan Uraon,IND,0,Graduate,26,VALMIKI NAGAR
Manohar Manoj,IND,0,Post Graduate,45,VALMIKI NAGAR
Nandlal Ram,IND,0,Literate,49,VALMIKI NAGAR
Om Shanti Baba,IND,0,Literate,50,VALMIKI NAGAR
Prof. Amaresh Prasad,JMM, 1 ,Doctorate,62,VALMIKI NAGAR
Purnmasi Ram,INC,0,12th Pass,57,VALMIKI NAGAR
Shailesh Kumar Diwakar,BSP,0,Post Graduate,34,VALMIKI NAGAR
Virendra Prasad Gupta,CPI(ML)L, 4 ,12th Pass,45,VALMIKI NAGAR
Smt. Kirron Kher,BJP,0,Post Graduate,61,CHANDIGARH
Ajay Singla,IND, 2 ,10th Pass,38,CHANDIGARH
Amarjit Kaur,IND,0,8th Pass,55,CHANDIGARH
Deepak Shukla,IND,0,Graduate,43,CHANDIGARH
Dharmender Singh,Hindustan Ekta Party,0,Graduate,55,CHANDIGARH
Gulkirat Kaur Panag,AAP,0,Post Graduate,35,CHANDIGARH
Jannat Jahan-ul-haq (naina),BSP,0,Graduate,32,CHANDIGARH
Jasmer Singh,IND,0,10th Pass,54,CHANDIGARH
Kawaljit Singh,CPI(ML)L, 4 ,Graduate Professional,33,CHANDIGARH
Khem Lal Bansal,Inqalab Vikas Dal,0,10th Pass,68,CHANDIGARH
Pawan Kumar Bansal,INC,0,Graduate Professional,65,CHANDIGARH
Pawan Kumar Sharma,IND,0,12th Pass,43,CHANDIGARH
Ramesh Chander,IND,0,Graduate,46,CHANDIGARH
Reena Sharma,IND,0,12th Pass,33,CHANDIGARH
Shamsher Singh,IND,0,10th Pass,36,CHANDIGARH
Surender Kumar,Bahujan Mukti Party,0,Graduate,32,CHANDIGARH
Surinder Bhardwaj,JD(U),0,Graduate,65,CHANDIGARH
Dinesh Kashyap,BJP, 1 ,Post Graduate,51,BASTAR
Arjun Singh Thakur,Ambedkarite Party of India,0,Post Graduate,54,BASTAR
Deepak Karma,INC,0,Graduate,36,BASTAR
Devchand Dhruw,CPI(ML) Red star,0,8th Pass,47,BASTAR
Manbodh Baghel,BSP,0,Graduate Professional,40,BASTAR
Shankar Ram Thakur,SP,0,Graduate,50,BASTAR
Soni Soree,AAP, 2 ,12th Pass,39,BASTAR
Vimla Shoree,CPI,0,Graduate Professional,29,BASTAR
Lakhanlal Sau S/o Kalyan Lal Sahu,BJP,0,Post Graduate,43,BILASPUR
Ajay Pali,IND,0,Literate,30,BILASPUR
Anand Mishra,AAP,0,Post Graduate,68,BILASPUR
Baldau Prasad Sahu,IND,0,Graduate,41,BILASPUR
Dausingh Maravi,IND,0,Graduate,44,BILASPUR
Daya Das Lahre,IND,0,8th Pass,72,BILASPUR
Dhani Ram Khare,Republican Paksha (Khoripa),0,5th Pass,44,BILASPUR
Dhani Ram Yadav,SP,0,8th Pass,33,BILASPUR
Dharam Bhargav,BSP,0,12th Pass,54,BILASPUR
Dilip Kumar Koshle,IND,0,12th Pass,43,BILASPUR
Dinesh Kumar Singh Khusro Nikhil,IND,0,10th Pass,28,BILASPUR
Er. Ramfal Mandrey,Ambedkarite Party of India,0,Post Graduate,35,BILASPUR
Ganesh Yadav,GGP,0,10th Pass,30,BILASPUR
Jait Ram Khande,IND,0,5th Pass,50,BILASPUR
Karuna Shukla,INC,0,Post Graduate,64,BILASPUR
Lakhan Lal Sahu S/o Nandram Sahu,IND,0,5th Pass,39,BILASPUR
Lakhan Lal Sahu S/o Santram Sahu,IND,0,8th Pass,50,BILASPUR
Lakhan Sahu S/o Mahindar Sahu,IND,0,Literate,46,BILASPUR
Manik Dahariya,IND,0,8th Pass,58,BILASPUR
Prakash Surya,IND,0,10th Pass,34,BILASPUR
Ram Singh Pandram,IND,0,12th Pass,67,BILASPUR
Rameshwar Kewat,IND,0,Post Graduate,38,BILASPUR
Ramji Sahu,Chhattisgarh Swabhiman Manch,0,12th Pass,50,BILASPUR
Salik Ram Jogi,IND,0,Post Graduate,47,BILASPUR
Sarita Soni,IND,0,12th Pass,55,BILASPUR
Tamradwaj Sahu,INC,0,12th Pass,65,DURG
A.k. Mohan,AITC,0,10th Pass,50,DURG
Alfraid Vikas Luis,IND,0,Graduate,29,DURG
Arun Kumar Joshi,IND,0,Others,43,DURG
Atmaram Sahu,SUCI(C),0,Post Graduate,33,DURG
Baldau Prasad Sahu,IND,0,8th Pass,46,DURG
Bharat Bhusan Pandey,CPI(ML) Red Star, 1 ,12th Pass,52,DURG
Chandra Prakash Mandle,IND, 3 ,Graduate Professional,36,DURG
Diwakar Bairagi,IND, 1 ,Post Graduate,50,DURG
Jai Prakash Nair,CPI(ML)L,0,12th Pass,42,DURG
Jinendra Ghritlahare,IND,0,12th Pass,40,DURG
Khitiz Kumar Sabharkar,Republican Paksha (Khoripa),0,Graduate Professional,31,DURG
Mannu Lal Parganiha,Chhattisgarh Swabhiman Manch,0,8th Pass,71,DURG
Munna Chandrakar,BSP,0,8th Pass,41,DURG
Narendra Gupta,Bhrashtachar Mukti Morcha,0,Graduate Professional,53,DURG
Radha Bai Yadav,IND,0,Literate,53,DURG
Sahetru Singh,IND,0,Post Graduate,45,DURG
Sarju Prasad Shukla,IND,0,10th Pass,65,DURG
Shailendra Kumar Banjare,Shakti Sena (Bharat Desh),0,Post Graduate,39,DURG
Sheema Rahangdale,Ambedkarite Party of India,0,Graduate,28,DURG
Shitkaran Mahilvar,IND,0,5th Pass,47,DURG
Shrikant Shah,JD(U), 1 ,10th Pass,40,DURG
Subodh Kumar Gupta,RPI(A),0,12th Pass,62,DURG
Sushree Saroj Pandey,BJP,0,Doctorate,46,DURG
Vishwaratan Sinha,AAP,0,Post Graduate,47,DURG
Smt. Kamla Patle,BJP,0,12th Pass,48,JANJGIR-CHAMPA
Chaitram Suryavanshi,IND,0,Post Graduate,67,JANJGIR-CHAMPA
Daduram Manhar,AAP,0,Post Graduate,35,JANJGIR-CHAMPA
Deepak Narang,IND,0,10th Pass,25,JANJGIR-CHAMPA
Dujram Boudh,BSP,0,12th Pass,43,JANJGIR-CHAMPA
Jagdish Prasad Nirala,IND,0,8th Pass,45,JANJGIR-CHAMPA
Jivan Bharati,IND,0,8th Pass,57,JANJGIR-CHAMPA
Kaushal Prasad,IND,0,Graduate,40,JANJGIR-CHAMPA
Lakhan Lahare,IND,0,Post Graduate,46,JANJGIR-CHAMPA
Lakhan Lal Chauhan,Bahujan Mukti Party,0,10th Pass,62,JANJGIR-CHAMPA
Nohar Singh Sonwani,SP,0,Graduate,34,JANJGIR-CHAMPA
Premchand Jayasi,INC,0,Post Graduate,40,JANJGIR-CHAMPA
Premshankar Mahilange,IND,0,12th Pass,45,JANJGIR-CHAMPA
Satyendra,Ambedkarite Party of India,0,Others,39,JANJGIR-CHAMPA
Vrinda Ganda,IND,0,Illiterate,33,JANJGIR-CHAMPA
Vikram Usendi,BJP,0,10th Pass,48,KANKER
Amal Say Sori,IND,0,Graduate,42,KANKER
Foolodevi Netam,INC,0,12th Pass,42,KANKER
Hemlal Markam,GGP, 1 ,Graduate,32,KANKER
Jamuna Mandavi,Chhattisgarh Swabhiman Manch,0,Graduate,42,KANKER
Mahendra Gawade,IND,0,12th Pass,37,KANKER
Malik Ram Thakur,Ambedkarite Party of India,0,10th Pass,52,KANKER
Ramesh Kumar Gawde,CPI, 1 ,8th Pass,38,KANKER
Ramsay Korram,BSP,0,12th Pass,38,KANKER
Santosh Kumar Dhruw,AAP,0,Graduate,41,KANKER
Dr. Banshilal Mahato,BJP,0,Graduate Professional,73,KORBA
Amar Nath Pandey,AAP, 2 ,Graduate Professional,48,KORBA
Chandra Bhusan Kanwar,Ambedkarite Party of India,0,Graduate Professional,35,KORBA
Charan Bhaya,IND,0,Not Given,47,KORBA
Charan Das Mahant,INC,0,Doctorate,60,KORBA
Dhansingh Dhurve,BSP,0,Post Graduate,43,KORBA
Dr.urmila Singh Marko,Rashtriya Gondvana Party,0,Graduate,49,KORBA
Fatte Singh Shyam,IND,0,Illiterate,55,KORBA
Harbhajan Singh,IND,0,12th Pass,33,KORBA
Hirasingh Markam,GGP, 3 ,Post Graduate,79,KORBA
Jata Shankar Pandey,IND,0,8th Pass,38,KORBA
Jeevan Lal Rautel,IND,0,8th Pass,47,KORBA
Kamal Dev,Bhartiya Shakti Chetna Party,0,8th Pass,35,KORBA
Kewal Bharti Goswami,SP, 1 ,Post Graduate,44,KORBA
Laxman Lal Kaiwart,Chhattisgarhiya Party,0,12th Pass,44,KORBA
Mohan Lal Bargahi,IND,0,10th Pass,60,KORBA
Phuleshwar Prasad Surajhiha,IND,0,Not Given,71,KORBA
Pratap Bhanu,IND,0,12th Pass,45,KORBA
Rajendra Singh Kanwar,Chhattisgarh Swabhiman Manch,0,Graduate,32,KORBA
Rajesh Kumar Mahant,JD(U),0,8th Pass,37,KORBA
Rajesh Kumar Pandey,IND, 2 ,10th Pass,39,KORBA
S.r. Anchal,IND,0,Post Graduate,44,KORBA
Shambhu Sharma,IND,0,Graduate Professional,70,KORBA
Shekh Rauf,IND,0,12th Pass,46,KORBA
Chandu Lal Sahu (chandu Bhaiya) S/o Late Puneen Ram,BJP,0,Graduate Professional,54,MAHASAMUND
Abha Pandey,Chhattisgarh Swabhiman Manch,0,8th Pass,32,MAHASAMUND
Ajit Pramod Kumar Jogi,INC, 1 ,Graduate Professional,67,MAHASAMUND
Champa Lal Patel,IND,0,Graduate,47,MAHASAMUND
Chandoo Lal Sahu S/o Avadh Ram Sahu,IND,0,8th Pass,25,MAHASAMUND
Chandu Lal Sahu S/o Balchand Sahu,IND,0,10th Pass,0,MAHASAMUND
Chandu Lal Sahu S/o Biju Ram Sahu,IND,0,5th Pass,26,MAHASAMUND
Chandu Lal Sahu S/o Late Nathu Ram,IND,0,5th Pass,40,MAHASAMUND
Chandu Lal Sahu S/o Parmanand Sahu,IND,0,Literate,61,MAHASAMUND
Chandu Lal Sahu S/o Same Lal Sahu,IND,0,8th Pass,40,MAHASAMUND
Chandu Lal Sahu S/o Soju Lal Sahu,IND,0,8th Pass,42,MAHASAMUND
Chandu Ram Sahu S/o Nakul Sahu,IND,0,5th Pass,56,MAHASAMUND
Chandu Ram Sahu S/o Pilau Ram Sahu,IND,0,8th Pass,60,MAHASAMUND
Chanduram Sahu S/o Ram Karosa Sahu,IND,0,Literate,58,MAHASAMUND
Dev Prasad Kelkar,IND,0,10th Pass,50,MAHASAMUND
Gangadhar Patel,IND,0,5th Pass,53,MAHASAMUND
Hemant Pradhan,IND,0,8th Pass,53,MAHASAMUND
Kanhaiya Sahu,BSP,0,Graduate,51,MAHASAMUND
Lakshman Masturiya,AAP,0,Post Graduate,64,MAHASAMUND
Mohan Lal Patel,Bhartiya Shakti Chetna Party,0,10th Pass,51,MAHASAMUND
Moti Lal Sahu S/o Bajaraha Ram Sahu,IND,0,12th Pass,35,MAHASAMUND
Moti Lal Sahu S/o Sone Lal Sahu,IND,0,8th Pass,35,MAHASAMUND
Patel Shri Dhar Chandrakar,Apna Dal, 1 ,Post Graduate,42,MAHASAMUND
Preeti Dhruw,GGP,0,Others,33,MAHASAMUND
Rupanand Soi,IND,0,12th Pass,38,MAHASAMUND
Sukhnandan Deshkar,IND,0,8th Pass,43,MAHASAMUND
Vijay Kumar Patel,IND,0,Post Graduate,44,MAHASAMUND
Vishnudev Sai,BJP,0,10th Pass,50,RAIGARH
Amrit Tirkey,IND,0,8th Pass,36,RAIGARH
Arti Singh,INC,0,Post Graduate,34,RAIGARH
Bajarang Sidar,IND,0,12th Pass,41,RAIGARH
Dhananjay Rathiya,IND,0,10th Pass,27,RAIGARH
Joseph Bara,IND,0,12th Pass,58,RAIGARH
Kripa Shankar Bhagat,BSP,0,Post Graduate,38,RAIGARH
Kriparam Sidar,GGP,0,8th Pass,63,RAIGARH
Paulus Kujur,Bahujan Mukti Party,0,10th Pass,54,RAIGARH
Prakash Kumar Uranw,IND,0,8th Pass,31,RAIGARH
Ram Narayan Ayam,Ambedkarite Party of India,0,Graduate,45,RAIGARH
Tara Singh,AAP,0,Graduate,49,RAIGARH
Ramesh Bais,BJP,0,12th Pass,66,RAIPUR
Abdul Safiq Khan,IND,0,10th Pass,35,RAIPUR
Ajay Verma,Chhattisgarh Swabhiman Manch,0,Others,44,RAIPUR
Anil Umre,Ambedkarite Party of India,0,12th Pass,29,RAIPUR
Bishat Kurre,CPI(ML)L,0,8th Pass,52,RAIPUR
Hori Lal Yadav,IND, 2 ,Illiterate,71,RAIPUR
Imrram Pasha,Aazadi Ka Antim Aandolan Dal,0,12th Pass,37,RAIPUR
Kamaaluddin,IND,0,8th Pass,41,RAIPUR
Kranti Kumar Chandrakar,IND,0,Graduate Professional,35,RAIPUR
Krishna Nandan Singh,IND,0,Post Graduate,50,RAIPUR
Lalit Kumar Patel,IND,0,Graduate Professional,44,RAIPUR
Madan Lal Sahu,CPI(ML) Red Star,0,Graduate,34,RAIPUR
Mahesh Harpaal,Shakti Sena (Bharat Desh),0,10th Pass,29,RAIPUR
Moinudin Tanvar,IND,0,5th Pass,31,RAIPUR
Naarad Prasad Nishad,IND,0,8th Pass,39,RAIPUR
Naresh Tandi,IND, 1 ,5th Pass,30,RAIPUR
Naveen Gupta,SP,0,10th Pass,41,RAIPUR
Om Prakash Dande,IND,0,12th Pass,26,RAIPUR
Omprakash Meshram,Republican Paksha (Khoripa),0,Post Graduate,49,RAIPUR
Pravin Jain,IND,0,10th Pass,49,RAIPUR
Ramgopal Verma,AITC,0,5th Pass,42,RAIPUR
Ramkrishna Verma,IND,0,8th Pass,0,RAIPUR
Rijhendra Dahariya,IND,0,10th Pass,38,RAIPUR
Sandeep Tiwari,AAP, 1 ,Post Graduate,38,RAIPUR
Santosh Dahariya,IND,0,12th Pass,0,RAIPUR
Satya Narayan Sharma (sattu Bhaiya),INC, 1 ,12th Pass,70,RAIPUR
Sayeed Javed Ali,IND,0,5th Pass,26,RAIPUR
Shankar Lal Varandaani,IND,0,10th Pass,45,RAIPUR
Smt. Basmati Kshatriyaa,IND,0,8th Pass,48,RAIPUR
Smt. Meera Sharma,IND,0,Post Graduate,33,RAIPUR
Tarzan Jangde,IND,0,12th Pass,0,RAIPUR
Teekam Kumar Tondre,IND,0,12th Pass,27,RAIPUR
Umesh Kumar Verma,IND,0,Post Graduate,48,RAIPUR
Virendra Kumar Dahariya,BSP,0,10th Pass,66,RAIPUR
Yaasmin Beg,IND,0,10th Pass,45,RAIPUR
Abhishek Singh,BJP,0,Graduate Professional,33,RAJNANDGAON
Anandram Sahu,BSP,0,8th Pass,31,RAJNANDGAON
Bhagat Ram Soni,Chhattisgarh Swabhiman Manch,0,12th Pass,43,RAJNANDGAON
Bhaskar Dwivedi,AAP,0,Post Graduate,41,RAJNANDGAON
Kamleshwar Verma,INC, 1 ,Graduate,53,RAJNANDGAON
Khemraj Lodhi,IND,0,Graduate,42,RAJNANDGAON
Lodhi Seema Kaushik,SP,0,8th Pass,43,RAJNANDGAON
Murad Bhai,IND,0,10th Pass,66,RAJNANDGAON
Narendra Bansod,Ambedkarite Party of India,0,Graduate Professional,46,RAJNANDGAON
Ramesh Yadav,IND,0,12th Pass,42,RAJNANDGAON
Sahukar Bhaskar,IND,0,8th Pass,36,RAJNANDGAON
Santosh Chandrakar,GGP,0,10th Pass,51,RAJNANDGAON
Wamanrao Bagde,IND,0,10th Pass,68,RAJNANDGAON
Kamalbhan Singh,BJP,0,Post Graduate,51,SURGUJA
Bahadur Ram,IND,0,8th Pass,26,SURGUJA
Baldeo Maravi,GGP,0,10th Pass,70,SURGUJA
Dharmjeet Singh Markam,BSP,0,10th Pass,55,SURGUJA
Dubraj Singh Markam,IND,0,12th Pass,0,SURGUJA
Kumait Ram Sandil,IND,0,Post Graduate,69,SURGUJA
Kunj Bihari Paikra,Bahujan Mukti Party,0,Graduate Professional,40,SURGUJA
Rajnath,IND,0,10th Pass,31,SURGUJA
Rama Sapna Singh,Ambedkarite Party of India,0,Graduate,38,SURGUJA
Ramdeo Tirkey,INC,0,12th Pass,50,SURGUJA
Ramnath Cherwa,Shoshit Samaj Dal,0,8th Pass,42,SURGUJA
Shivkumar Singh Shyam,Rashtriya Gondvana Party,0,Post Graduate,31,SURGUJA
Surendra Lal Singh,CPI(M),0,Post Graduate,34,SURGUJA
Tuleshwar Singh,AITC,0,Graduate,54,SURGUJA
Natubhai G. Patel,BJP, 5 ,5th Pass,41,DADRA AND NAGAR HAVELI
Chhotubhai Babubhai Patel,AAP,0,10th Pass,49,DADRA AND NAGAR HAVELI
Delkar Mohanbhai Sanjibhai,INC,0,Graduate,51,DADRA AND NAGAR HAVELI
Dilipbhai N. Bhurkud,IND,0,12th Pass,43,DADRA AND NAGAR HAVELI
Janiabhai C. Khulat,NCP,0,8th Pass,58,DADRA AND NAGAR HAVELI
Kamuben K. Patel,IND,0,Illiterate,44,DADRA AND NAGAR HAVELI
Kishan Nathu Ghutiya,SHS,0,12th Pass,44,DADRA AND NAGAR HAVELI
Patel Hemantbhai Keshavbhai,BSP,0,12th Pass,43,DADRA AND NAGAR HAVELI
Prakash Vansha Khanvelkar,IND, 1 ,10th Pass,57,DADRA AND NAGAR HAVELI
Umedbhai L. Patel,Bahujan Mukti Party,0,10th Pass,47,DADRA AND NAGAR HAVELI
Vijaybhay N. Bhoya,JD(U),0,12th Pass,30,DADRA AND NAGAR HAVELI
Patel Lalubhai Babubhai,BJP,0,8th Pass,58,DAMAN AND DIU
Bhavesh Patel,BSP,0,Others,28,DAMAN AND DIU
Kessur Goan,AAP,0,10th Pass,45,DAMAN AND DIU
Patel Ketanbhai Dahayabhai,INC, 1 ,Others,39,DAMAN AND DIU
Shripad Yesso Naik,BJP,0,Graduate,61,NORTH GOA
Dattaram Desai,AAP,0,Post Graduate,61,NORTH GOA
Dayanand G. Narvekar,IND, 2 ,Graduate Professional,64,NORTH GOA
Mittu Mujavar,IND,0,12th Pass,38,NORTH GOA
Raju Dsouza,Samajwadi Janata Party (Rashtriya),0,10th Pass,44,NORTH GOA
Ravi Naik,INC,0,Post Graduate,67,NORTH GOA
Suhas Naik,CPI, 1 ,Graduate Professional,47,NORTH GOA
Adv. Narendra Keshav Sawaikar,BJP,0,Graduate Professional,47,SOUTH GOA
Adv. Jawahar Leonardo Dias,Goemcarancho Otrec Astro, 1 ,Post Graduate,58,SOUTH GOA
Adv. Raju Mangeshkar,CPI, 1 ,Graduate Professional,58,SOUTH GOA
Aleixo Reginaldo Lourenco,INC,0,12th Pass,45,SOUTH GOA
Balkrishna Salgaonkar,IND,0,Illiterate,42,SOUTH GOA
Churchill Alemao,AITC, 3 ,Others,64,SOUTH GOA
Cliffton De Souza,Bahujan Mukti Party,0,10th Pass,33,SOUTH GOA
Govind Gaude,IND, 4 ,Others,42,SOUTH GOA
Savio Oliver Rodrigues,Goa Su-Raj Party,0,Graduate Professional,37,SOUTH GOA
Shalom Mathew Francisco Sardinha,IND,0,Graduate Professional,33,SOUTH GOA
Swati Kerkar,AAP,0,12th Pass,39,SOUTH GOA
Venus Habib,IND,0,Graduate,62,SOUTH GOA
Paresh Dahyalal Rawal,BJP,0,12th Pass,59,AHMEDABAD EAST
Aditya Kiritkumar Raval,Vishva Hindustani Sangathan, 1 ,12th Pass,45,AHMEDABAD EAST
Anilkumar Kasturchand,IND,0,Graduate Professional,60,AHMEDABAD EAST
Budhdhpriya Jasvant Somabhai,Prajatantra Aadhar Party,0,Literate,68,AHMEDABAD EAST
Dashrath Misrilal Devda,IND,0,5th Pass,51,AHMEDABAD EAST
Dinesh Babulal Vaghela,AAP,0,Graduate,62,AHMEDABAD EAST
Dutt Akashbhai Natwarbhai,JD(U), 5 ,Graduate Professional,41,AHMEDABAD EAST
Khalifa Sansuddin Nasruddin,Akhil Bharatiya Congress Dal (Ambedkar),0,5th Pass,50,AHMEDABAD EAST
Mev Atikbhai Abdulrahim,IND,0,10th Pass,47,AHMEDABAD EAST
Patel Himmatsingh Prahladsingh,INC, 1 ,8th Pass,52,AHMEDABAD EAST
Rohit Rajubhai Virjibhai,BSP, 2 ,12th Pass,35,AHMEDABAD EAST
Roshan Priyavadan Shah,IND,0,Graduate Professional,39,AHMEDABAD EAST
Sengal Naranbhai Tulshibhai,Bahujan Suraksha Dal,0,10th Pass,62,AHMEDABAD EAST
Vadhel Vijaykumar Manjibhai,Hindusthan Nirman Dal,0,10th Pass,43,AHMEDABAD EAST
Dr. Solanki Kiritbhai Premjibhai,BJP,0,Post Graduate,64,AHMEDABAD WEST
Aayar Muljibhai Khanabhai,IND,0,10th Pass,44,AHMEDABAD WEST
Dr Parmar Jivanbhai Gabhabhai,Bahujan Mukti Party,0,Not Given,57,AHMEDABAD WEST
Makwana Ishwarbahi Dhanabhai,INC, 1 ,Graduate,64,AHMEDABAD WEST
Mevada Jayantibhai Jethalal,AAP,0,Graduate Professional,59,AHMEDABAD WEST
